20230104	12:13:32	62416ddb-3380-4adb-bd2c-a10f2b89ca5f	POST	undefined	/register
20230104	12:19:53	edcc5db2-d296-46e7-a698-3a2f764684b2	POST	undefined	/register
20230104	12:20:06	496e9647-9890-4365-843f-0f9c05736c9e	POST	undefined	/register
20230104	12:21:16	6f62c08b-8b81-4ac5-b339-f5c9318b672b	POST	undefined	/register
20230104	17:58:46	50d5caec-6108-47f6-a4dd-fff70e398d9b	POST	undefined	/register
20230104	18:02:25	c36338b9-a1c5-48df-b407-f4fc4d9bcc56	POST	undefined	/register
20230104	18:02:32	4a695fb4-de0b-4f81-8506-5ebdb872c683	POST	undefined	/register
20230104	18:02:37	99068ace-bb4c-4f18-b2e2-8beeb76e1cfd	POST	undefined	/register
20230104	18:03:49	78791e9a-8c2e-4be1-98f9-08c85c0b497f	POST	undefined	/register
20230104	19:57:31	b4a8fe83-f2e1-499b-91f8-a8c379d96b9a	POST	undefined	/register
20230104	19:58:12	61909f16-992a-4020-a8ee-511bfdc18164	POST	undefined	/register
20230104	19:59:08	7c97741e-f726-4090-ac71-8499a50e6d7a	POST	undefined	/register
20230104	19:59:17	ca0ec990-ebb8-43b3-8e58-59d590678562	POST	undefined	/register
20230104	20:59:05	6a1081e2-55a8-4914-b30e-728089ea62fd	POST	undefined	/register
20230104	20:59:20	4e0745ff-ff4f-49b2-83c9-2ea10969b643	POST	undefined	/register
20230105	17:59:37	2d61a32c-4cfb-4ac9-87be-3ea4a9e78771	POST	undefined	/register
20230105	18:00:21	4d174db6-b5f7-41e1-bc2d-2711e8074934	POST	undefined	/register
20230105	18:01:58	e2e761d8-4237-4f1e-ad83-54115ae51e7e	POST	undefined	/auth
20230105	18:05:32	6b6222e3-d7bb-4cbd-aa12-32ba6ce9f647	GET	undefined	/refresh
20230105	18:08:50	75ca8961-c21d-40e4-97fc-fc22fd089cfd	POST	undefined	/auth
20230105	18:08:57	da592e9f-6711-4486-9787-a09dc7d8bbe2	GET	undefined	/refresh
20230105	18:12:59	20e74467-3c1f-47ab-9fe3-82ed245c7ac0	POST	undefined	/auth
20230105	18:13:06	c0690db5-51f3-49c9-b3d2-8d990cabf307	GET	undefined	/logout
20230105	23:55:11	deca1fa2-0171-4217-b186-ce8b3ed35d36	POST	undefined	/auth
20230105	23:55:20	45ed2c76-cba5-4302-b658-7f628edd94ce	GET	undefined	/employees/1
20230105	23:56:25	a45122d7-7ffa-40a9-9779-1a4bcb427425	POST	undefined	/auth
20230105	23:56:35	b95188b1-d926-4075-bb88-f873bd06013b	GET	undefined	/employees
20230106	00:28:59	6af2cbfb-0223-4c84-9515-0f338868385c	POST	undefined	/auth
20230106	00:29:16	4b7f025b-7aa3-4cc1-a429-966c13ff25c6	GET	undefined	/employees
20230106	10:17:27	266840ca-6f12-4bf2-821e-c830713b1f83	POST	undefined	/employees
20230106	11:01:13	028b5fe4-a72f-4ca2-803a-0d059db84444	POST	undefined	/auth
20230106	11:01:31	6d4bd026-d7ea-4844-a6c8-dce9394d050e	POST	undefined	/employees
20230106	22:45:22	4a49c7b9-87de-425b-b99d-9603a99ef6b0	POST	undefined	/auth
